PCL ID	PCL Name	Type	Size	Perturbagen IDs	Pertubagen Names	Gene Targets	Tau Summary	Tau Best Cell	Best Cell	Composite Tau	Median Tanimoto Daylight	Median Tanimoto ECFP4
CP_HDAC_INHIBITOR	HDAC inhibitor	CP	20	BRD-K74733595|BRD-K64606589|BRD-K17743125|BRD-K56957086|BRD-K07888107|BRD-K11558771|BRD-K77908580|BRD-K13810148|BRD-A39646320|BRD-K69840642|BRD-K16485616|BRD-K52522949|BRD-K13169950|BRD-K02130563|BRD-K12867552|BRD-K11663430|BRD-K22503835|BRD-K68202742|BRD-K00627859|BRD-K81418486	APHA-compound-8|apicidin|belinostat|dacinostat|depudecin|droxinostat|entinostat|givinostat|HC-toxin|ISOX|mocetinostat|NCH-51|NSC-3852|panobinostat|PCI-24781|pyroxamide|scriptaid|trichostatin-a|tubastatin-a|vorinostat	HDAC1|HDAC6|HDAC2|HDAC3|HDAC8|HDAC10|HDAC4|HDAC7|HDAC11|HDAC5|HDAC9	99.56	99	HA1E	99.56	0.22	0.12
CP_ATPASE_INHIBITOR	ATPase inhibitor	CP	16	BRD-K63606607|BRD-A80502530|BRD-A10420615|BRD-A71459254|BRD-K18518344|BRD-A93236127|BRD-A94756469|BRD-A29082194|BRD-A63998256|BRD-K74133369|BRD-K05350981|BRD-A68930007|BRD-A34806832|BRD-A89434049|BRD-K84595254|BRD-A62809825	bufalin|cinobufagin|cyclopiazonic-acid|cymarin|digitoxigenin|digitoxin|digoxin|gitoxigenin|helveticoside|oligomycin-a|oligomycin-c|ouabain|proscillaridin|sarmentogenin|strophanthidin|thapsigargin	ATP1A1|ATP2A1|ATP5A1	99.55	99.8	MCF7	99.8	0.67	0.24
CP_BROMODOMAIN_INHIBITOR	Bromodomain Inhibitor	CP	6	BRD-K64890080|BRD-K27305650|BRD-K22385716|BRD-K54330070|BRD-K12502280|BRD-K50387473	BI-2536|LY-294002|LY-303511|SB-202190|TG-101348|XMD-892	BRD2|BRD3|BRD4	99.47	99.72	HT29	99.72	0.2	0.08
OE_HOMEOBOX_GENE	Homeobox Gene GOF	GOF	8	ccsbBroad304_06102|ccsbBroad304_00772|ccsbBroad304_00773|ccsbBroad304_00778|ccsbBroad304_06393|ccsbBroad304_06394|ccsbBroad304_04496|ccsbBroad304_06753	DLX3|HOXA6|HOXA9|HOXC10|HOXC4|HOXC9|LHX4|POU5F1	n/a	99.46	99.65	A375	99.65	n/a	n/a
KD_PROTEASOME_PATHWAY	Proteasome Pathway LOF	LOF	9	CGS001-5682|CGS001-5684|CGS001-5686|CGS001-5688|CGS001-5689|CGS001-5690|CGS001-5693|CGS001-5695|CGS001-5714	PSMA1|PSMA3|PSMA5|PSMA7|PSMB1|PSMB2|PSMB5|PSMB7|PSMD8	n/a	99.46	99.83	HT29	99.83	n/a	n/a
CP_SRC_INHIBITOR	SRC inhibitor	CP	7	BRD-K99964838|BRD-K49328571|BRD-K47598052|BRD-K95785537|BRD-K19540840|BRD-U44618005|BRD-K41337261	bosutinib|dasatinib|PP-1|PP-2|saracatinib|WH-4023|ZM-306416	SRC|ABL1|BCR	99.38	99.33	MCF7	99.38	0.27	0.13
CP_MTOR_INHIBITOR	MTOR inhibitor	CP	16	BRD-K69932463|BRD-K29733039|BRD-K06750613|BRD-K67566344|BRD-K27305650|BRD-K09537769|BRD-K12184916|BRD-K94294671|BRD-K67868012|BRD-U33728988|BRD-K89626439|BRD-A62025033|BRD-K40175214|BRD-K68174511|BRD-A45498368|BRD-K77008974	AZD-8055|deforolimus|GSK-1059615|KU-0063794|LY-294002|NU-7026|NVP-BEZ235|OSI-027|PI-103|QL-X-138|sirolimus|temsirolimus|torin-1|torin-2|WYE-125132|WYE-354	MTOR	99.37	99.6	PC3	99.6	0.22	0.11
CP_TUBULIN_INHIBITOR	Tubulin inhibitor	CP	20	BRD-K91623615|BRD-K79131256|BRD-K32828673|BRD-K26997899|BRD-K63265447|BRD-K48935217|BRD-K51318897|BRD-K86003836|BRD-K09638361|BRD-K77987382|BRD-K12539581|BRD-K52075715|BRD-A28746609|BRD-K02407574|BRD-K99498722|BRD-K47869605|BRD-A55594068|BRD-K82109576|BRD-K59753975|BRD-M30523314	ABT-751|albendazole|chelidonine|D-64131|docetaxel|epothilone|fenbendazole|flubendazole|IC-261|mebendazole|nocodazole|oxibendazole|paclitaxel|parbendazole|plinabulin|podophyllotoxin|vinblastine|vincristine|vindesine|vinorelbine	TUBB	99.22	99.41	HT29	99.41	0.21	0.11
CP_IGF_1_INHIBITOR	IGF-1 inhibitor	CP	3	BRD-K34581968|BRD-K13049116|BRD-K08589866	BMS-536924|BMS-754807|linsitinib	IGF1R	99.19	99.16	HT29	99.19	0.29	0.13
CP_PI3K_INHIBITOR	PI3K inhibitor	CP	16	BRD-K41895714|BRD-K58772419|BRD-K52911425|BRD-K06750613|BRD-K09499853|BRD-K27305650|BRD-K09537769|BRD-K12184916|BRD-K67868012|BRD-K97365803|BRD-M16762496|BRD-K99818283|BRD-A41692738|BRD-K40175214|BRD-A11678676|BRD-K63068307	AS-605240|AZD-6482|GDC-0941|GSK-1059615|KU-0060648|LY-294002|NU-7026|NVP-BEZ235|PI-103|PI-828|PIK-75|PIK-90|TGX-221|torin-1|wortmannin|ZSTK-474	PIK3CG|PIK3CA|PIK3CB|PIK3CD	99.09	98.69	HA1E	99.09	0.2	0.13
CP_NUCLEOPHOSMIN_INHIBITOR	Nucleophosmin inhibitor	CP	7	BRD-K10466330|BRD-K61691971|BRD-K42573370|BRD-K39569857|BRD-K25079130|BRD-A70731303|BRD-K50324045	AVA|avrainvillamide-analog-1|avrainvillamide-analog-2|avrainvillamide-analog-3|avrainvillamide-analog-4|avrainvillamide-analog-5|avrainvillamide-analog-6	n/a	98.79	97.22	MCF7	98.79	0.77	0.5
CP_DNA_SYNTHESIS_INHIBITOR	DNA synthesis inhibitor	CP	3	BRD-A80638690|BRD-K66788707|BRD-A48237631	floxuridine|fludarabine|mitomycin-c	RRM1	98.66	98.28	VCAP	98.66	0.33	0.12
CP_HMGCR_INHIBITOR	HMGCR inhibitor	CP	8	BRD-U88459701|BRD-K81169441|BRD-K66296774|BRD-K09416995|BRD-K94441233|BRD-K30097969|BRD-K82941592|BRD-A81772229	atorvastatin|cerivastatin|fluvastatin|lovastatin|mevastatin|pitavastatin|rosuvastatin|simvastatin	HMGCR	98.56	99.01	HA1E	99.01	0.36	0.2
KD_RNA_POLYMERASE_ENZYMES	RNA Polymerase Enzymes LOF	LOF	7	CGS001-5430|CGS001-5432|CGS001-5433|CGS001-5434|CGS001-5435|CGS001-5438|CGS001-5440	POLR2A|POLR2C|POLR2D|POLR2E|POLR2F|POLR2I|POLR2K	n/a	98.53	99.86	HT29	99.86	n/a	n/a
CP_GLUCOCORTICOID_RECEPTOR_AGONIST	Glucocorticoid receptor agonist	CP	44	BRD-A90131694|BRD-A16478930|BRD-A17448384|BRD-K97810537|BRD-A02180903|BRD-A92177080|BRD-A82238138|BRD-A26095496|BRD-K38003476|BRD-K94070024|BRD-K30697463|BRD-A35108200|BRD-A93424738|BRD-K17674993|BRD-A38749782|BRD-A49765801|BRD-A01346607|BRD-A65449987|BRD-K94353609|BRD-A15297126|BRD-K57886322|BRD-A13133631|BRD-K14791739|BRD-K62310379|BRD-K81709173|BRD-K33312228|BRD-K73978287|BRD-A65767837|BRD-A07000685|BRD-A46186775|BRD-A25143711|BRD-K29173907|BRD-K39983086|BRD-A20126139|BRD-K35240538|BRD-K60640630|BRD-K46137903|BRD-A27887842|BRD-A01643550|BRD-A78391468|BRD-K31627533|BRD-K53790871|BRD-A92439610|BRD-A23290232	alclometasone|amcinonide|beclometasone|beclomethasone-dipropionate|betamethasone|betamethasone-acetate|budesonide|clobetasol|clocortolone-pivalate|depomedrol|desoximetasone|dexamethasone|dexamethasone-acetate|diflorasone|fludrocortisone-acetate|fludroxycortide|flumetasone|flunisolide|fluocinolone|fluocinolone-acetonide|fluocinonide|fluorometholone|fluticasone|fluticasone-propionate|halcinonide|halometasone|hydrocortisone|hydrocortisone-acetate|hydrocortisone-hemisuccinate|hydrocortisone-phosphate|hydrocortisone-valerate|isoflupredone-acetate|loteprednol|medrysone|methylprednisolone|mometasone|prednicarbate|prednisolone|prednisolone-acetate|prednisolone-hemisuccinate|rimexolone|triamcinolone|triamcinolone-acetonide|westcort	NR3C1	98.45	99.07	A549	99.07	0.61	0.23
KD_HEAT_SHOCK_70KDA_PROTEINS	Heat shock 70kDa proteins LOF	LOF	4	CGS001-51182|CGS001-3309|CGS001-3313|CGS001-10525	HSPA14|HSPA5|HSPA9|HYOU1	n/a	98.35	99.32	PC3	99.32	n/a	n/a
CP_TOPOISOMERASE_INHIBITOR	Topoisomerase inhibitor	CP	16	BRD-K56334280|BRD-K98490050|BRD-A30437061|BRD-A80960055|BRD-K43389675|BRD-K92093830|BRD-K85985071|BRD-K04548931|BRD-K37798499|BRD-K69650333|BRD-K08547377|BRD-K21680192|BRD-K83794624|BRD-A36630025|BRD-A35588707|BRD-A59985574	amonafide|amsacrine|camptothecin|celastrol|daunorubicin|doxorubicin|ellipticine|epirubicin|etoposide|idarubicin|irinotecan|mitoxantrone|pirarubicin|SN-38|teniposide|topotecan	TOP2A|TOP1|TOP2B	98.11	98.58	A549	98.58	0.27	0.11
CP_T_TYPE_CALCIUM_CHANNEL_BLOCKER	T-type calcium channel blocker	CP	5	BRD-K12906962|BRD-K17743697|BRD-K09549677|BRD-K78122587|BRD-K15409150	dichlorobenzamil|KB-R7943|mibefradil|NNC-55-0396|penfluridol	SLC8A1|CACNA1G|CACNA1H|CACNA1C|CACNA1I	97.98	98.26	HT29	98.26	0.26	0.09
CP_BILE_ACID	Bile acid	CP	4	BRD-K43164539|BRD-K20986251|BRD-K81062487|BRD-K33572481	cholic-acid|lithocholic-acid|taurocholic-acid|taurodeoxycholic-acid	CES1|FECH|PLA2G1B|NR1I2	97.75	95.77	A375	97.75	0.33	0.39
CP_NOREPINEPHRINE_REPUTAKE_INHIBITOR	Norepinephrine reputake inhibitor	CP	4	BRD-K02265150|BRD-K38436528|BRD-K03319035|BRD-A19195498	amoxapine|imipramine|maprotiline|trimipramine	SLC6A2|SLC6A4|SLC6A3	97.56	98.1	VCAP	98.1	0.27	0.11
CP_NFKB_PATHWAY_INHIBITOR	NFkB pathway inhibitor	CP	7	BRD-A79465854|BRD-K15025317|BRD-K74305673|BRD-K78599730|BRD-A45889380|BRD-K98548675|BRD-K80970344	auranofin|BAY-11-7082|IKK-2-inhibitor-V|manumycin-a|mepacrine|parthenolide|pyrrolidine-dithiocarbamate	IKBKB	97.54	94.24	PC3	97.54	0.1	0.05
KD_SERPIN_PEPTIDASE_INHIBITORS	Serpin peptidase inhibitors LOF	LOF	4	CGS001-6906|CGS001-5055|CGS001-5268|CGS001-5269	SERPINA7|SERPINB2|SERPINB5|SERPINB6	n/a	97.28	94.66	MCF7	97.28	n/a	n/a
CP_TRICYCLIC_ANTIDEPRESSANT	Tricyclic antidepressant	CP	6	BRD-K52989797|BRD-K60762818|BRD-K03319035|BRD-K91263825|BRD-K42098891|BRD-A19195498	clomipramine|desipramine|maprotiline|nortriptyline|protriptyline|trimipramine	SLC6A4|SLC6A2|KCNJ10|SLC6A3	97.16	97.41	HEPG2	97.41	0.27	0.19
KD_HISTONE_DEACETYLASES	Histone deacetylases LOF	LOF	4	CGS001-3065|CGS001-83933|CGS001-79885|CGS001-9759	HDAC1|HDAC10|HDAC11|HDAC4	n/a	97.09	96.84	HEPG2	97.09	n/a	n/a
CP_FGFR_INHIBITOR	FGFR inhibitor	CP	4	BRD-K28428262|BRD-K85402309|BRD-K91696562|BRD-K97764662	brivanib|dovitinib|orantinib|PD-173074	FGFR1|FGFR3|EGFR|FGFR2	96.96	99.76	HCC515	99.76	0.27	0.08
CP_BETA_ADRENERGIC_RECEPTOR_AGONIST	Beta-adrenergic receptor agonist	CP	11	BRD-A36267905|BRD-A65440446|BRD-A78322124|BRD-A97104540|BRD-M00539986|BRD-A16700644|BRD-A07780951|BRD-A22684332|BRD-A59174698|BRD-A01320529|BRD-A50157456	buphenine|cimaterol|dobutamine|fenoterol|formoterol|isoxsuprine|orciprenaline|procaterol|ritodrine|salmeterol|terbutaline-hemisulfate	ADRB2|ADRB1|ADRB3	96.76	98.03	A375	98.03	0.58	0.16
KD_G2_M_CHECKPOINT	G2 M Checkpoint LOF	LOF	4	CGS001-472|CGS001-891|CGS001-1111|CGS001-11200	ATM|CCNB1|CHEK1|CHEK2	n/a	96.66	97.51	HCC515	97.51	n/a	n/a
KD_MEDIATOR_COMPLEX	Mediator complex LOF	LOF	4	CGS001-5469|CGS001-80306|CGS001-10001|CGS001-9443	MED1|MED28|MED6|MED7	n/a	96.66	99.61	HT29	99.61	n/a	n/a
CP_VITAMIN_D_RECEPTOR_AGONIST	Vitamin D receptor agonist	CP	6	BRD-K93433262|BRD-K77175907|BRD-K56429665|BRD-A84327315|BRD-K14550461|BRD-K20986251	alfacalcidol|calcifediol|calcipotriol|calcitriol|doxercalciferol|lithocholic-acid	VDR	96.55	90.87	PC3	96.55	0.9	0.53
CP_PKA_INHIBITOR	PKA inhibitor	CP	5	BRD-K76617868|BRD-A55756846|BRD-K18742343|BRD-K27737647|BRD-K70577657	fasudil|H-7|H-8|H-89|H-9	PRKACA|ROCK1|ROCK2	96.38	96.42	HT29	96.42	0.76	0.4
CP_IMPDH_INHIBITOR	IMPDH inhibitor	CP	3	BRD-K32821942|BRD-K92428153|BRD-K31542390	azathioprine|mycophenolate-mofetil|mycophenolic-acid	IMPDH1|IMPDH2	96.34	95.02	HT29	96.34	0.48	0.34
KD_EIF_PROTEINS	EIF Proteins LOF	LOF	7	CGS001-8892|CGS001-8891|CGS001-8893|CGS001-8894|CGS001-1974|CGS001-1975|CGS001-1977	EIF2B2|EIF2B3|EIF2B5|EIF2S2|EIF4A2|EIF4B|EIF4E	n/a	96.33	90.17	A375	96.33	n/a	n/a
KD_NUCLEOPORIN	Nucleoporin LOF	LOF	5	CGS001-55746|CGS001-79902|CGS001-4927|CGS001-9688|CGS001-6632	NUP133|NUP85|NUP88|NUP93|SNRPD1	n/a	96.29	98.69	HT29	98.69	n/a	n/a
CP_DOPAMINE_RECEPTOR_ANTAGONIST	Dopamine receptor antagonist	CP	22	BRD-K37814297|BRD-K89997465|BRD-K59058766|BRD-K37289225|BRD-K97158071|BRD-K55127134|BRD-K77947974|BRD-K50891186|BRD-K05181463|BRD-K35559145|BRD-K51671335|BRD-K10995081|BRD-K01292756|BRD-K26801045|BRD-K19352500|BRD-K06980535|BRD-K69600043|BRD-K08619574|BRD-A84481105|BRD-K97309399|BRD-K89732114|BRD-K63675182	acepromazine|chlorpromazine|chlorprothixene|clozapine|droperidol|fluphenazine|fluspirilene|GR-103691|L-741626|levomepromazine|levosulpiride|perphenazine|pimozide|pipamperone|prochlorperazine|promazine|thiethylperazine|thioproperazine|thioridazine|thiothixene|trifluoperazine|triflupromazine	DRD2|DRD3|DRD1|DRD4|DRD5	96.28	91.34	HA1E	96.28	0.55	0.27
CP_GLYCOGEN_SYNTHASE_KINASE_INHIBITOR	Glycogen synthase kinase inhibitor	CP	11	BRD-K93658967|BRD-K67860401|BRD-K09991945|BRD-K04923131|BRD-K53959060|BRD-K19136521|BRD-K37312348|BRD-K87932577|BRD-K59184148|BRD-K76805682|BRD-K94176593	aloisine|AR-A014418|GSK-3-inhibitor-II|GSK-3-inhibitor-IX|indirubin|indirubin-3-monoxime|kenpaullone|NSC-693868|SB-216763|SB-415286|TWS-119	GSK3B|GSK3A	96.08	92.44	VCAP	96.08	0.21	0.11
CP_MDM_INHIBITOR	MDM inhibitor	CP	4	BRD-K17349619|BRD-K84987553|BRD-K00317371|BRD-K93095519	HLI-373|MDM2-inhibitor|RITA|SJ-172550	MDM2|MDM4	96.07	96.51	HCC515	96.51	0.11	0.08
KD_TUMOR_NECROSIS_FACTOR_SUPERFAMILY	Tumor necrosis factor superfamily LOF	LOF	3	CGS001-9966|CGS001-7292|CGS001-944	TNFSF15|TNFSF4|TNFSF8	n/a	95.85	93.46	A375	95.85	n/a	n/a
CP_TGF_BETA_RECEPTOR_INHIBITOR	TGF beta receptor inhibitor	CP	4	BRD-K09132007|BRD-K06234293|BRD-K67298865|BRD-K37720887	D-4476|LY-364947|SB-431542|SB-525334	TGFBR1|TGFB1	95.84	90.63	HEPG2	95.84	0.53	0.18
KD_LYSINE_ACETYLTRANSFERASES	Lysine acetyltransferases LOF	LOF	3	CGS001-7994|CGS001-23522|CGS001-8202	KAT6A|KAT6B|NCOA3	n/a	95.83	96.96	HEPG2	96.96	n/a	n/a
CP_RETINOID_RECEPTOR_AGONIST	Retinoid receptor agonist	CP	9	BRD-K93176058|BRD-K62012036|BRD-K35483542|BRD-K06854232|BRD-K28168037|BRD-K76723084|BRD-K36627727|BRD-K06926592|BRD-K68246049	AC-55649|acitretin|alitretinoin|AM-580|fenretinide|isotretinoin|tamibarotene|tretinoin|TTNPB	RARA|RARB|RARG|RXRG|RXRA|RXRB|RORB	95.7	99.76	MCF7	99.76	0.22	0.2
CP_CDK_INHIBITOR	CDK inhibitor	CP	12	BRD-K93658967|BRD-K07762753|BRD-K13390322|BRD-K19136521|BRD-K11636097|BRD-K37312348|BRD-K87932577|BRD-K51313569|BRD-K64800655|BRD-K50836978|BRD-K78373679|BRD-K07691486	aloisine|aminopurvalanol-a|AT-7519|indirubin-3-monoxime|JNJ-7706621|kenpaullone|NSC-693868|palbociclib|PHA-793887|purvalanol-a|Ro-3306|roscovitine	CDK1|CDK2|CDK5|CDK4|CDK9|CDK6|CDK7	95.25	91.46	MCF7	95.25	0.24	0.09
CP_EGFR_INHIBITOR	EGFR inhibitor	CP	14	BRD-K66175015|BRD-K49294207|BRD-K70914287|BRD-K50168500|BRD-K13087974|BRD-K85402309|BRD-K70401845|BRD-K64052750|BRD-K85606544|BRD-K48735772|BRD-K68336408|BRD-K59469039|BRD-U25771771|BRD-K72420232	afatinib|BIBU-1361|BIBX-1382|canertinib|CGP-52411|dovitinib|erlotinib|gefitinib|neratinib|PD-158780|tyrphostin-AG-1478|tyrphostin-AG-879|WZ-4-145|WZ-4002	EGFR|ERBB2|ERBB4	95.19	95.73	HCC515	95.73	0.35	0.17
CP_RAF_INHIBITOR	RAF inhibitor	CP	9	BRD-K05804044|BRD-K67578145|BRD-K39520573|BRD-U37049823|BRD-K16478699|BRD-K01253243|BRD-K49810818|BRD-M64432851|BRD-K56343971	AZ-628|GDC-0879|GW-5074|HG-6-64-01|PLX-4720|SB-590885|sorafenib|sunitinib|vemurafenib	BRAF|RAF1	95.1	98.24	HT29	98.24	0.24	0.11
CP_NUCLEOSIDE_REVERSE_TRANSCRIPTASE_INHIBITOR	Nucleoside reverse transcriptase inhibitor	CP	3	BRD-K99063460|BRD-K93880783|BRD-K85925969	didanosine|stavudine|zalcitabine	PNP	94.47	98.53	HA1E	98.53	0.46	0.23
CP_ATP_SYNTHASE_INHIBITOR	ATP synthase inhibitor	CP	3	BRD-K56001384|BRD-K74133369|BRD-K05350981	antimycin-a|oligomycin-a|oligomycin-c	ATP5A1	94.45	92.67	A549	94.45	0.61	0.46
KD_INTEGRIN_SUBUNITS_BETA	Integrin subunits beta LOF	LOF	3	CGS001-3688|CGS001-3691|CGS001-3693	ITGB1|ITGB4|ITGB5	n/a	93.83	94.47	HA1E	94.47	n/a	n/a
KD_HOXL_SUBCLASS_HOMEOBOXES	HOXL subclass homeoboxes LOF	LOF	3	CGS001-3198|CGS001-3215|CGS001-4223	HOXA1|HOXB5|MEOX2	n/a	93.75	97.45	HCC515	97.45	n/a	n/a
KD_MINOR_HISTOCOMPATIBILITY_ANTIGENS	Minor histocompatibility antigens LOF	LOF	3	CGS001-55127|CGS001-55746|CGS001-9322	HEATR1|NUP133|TRIP10	n/a	93.57	86.96	A375	93.57	n/a	n/a
KD_NADH_UBIQUINONE_OXIDOREDUCTASE_SUPERNUMERARY_SUBUNITS	NADH ubiquinone oxidoreductase supernumerary subunits LOF	LOF	4	CGS001-4704|CGS001-4706|CGS001-4714|CGS001-4724	NDUFA9|NDUFAB1|NDUFB8|NDUFS4	n/a	93.52	93.95	HEPG2	93.95	n/a	n/a
KD_WNT_FAMILY	Wnt family LOF	LOF	4	CGS001-7481|CGS001-7477|CGS001-7483|CGS001-7484	WNT11|WNT7B|WNT9A|WNT9B	n/a	93.42	95.41	A375	95.41	n/a	n/a
KD_TRACE_AMINE_RECEPTORS	Trace amine receptors LOF	LOF	3	CGS001-319100|CGS001-83551|CGS001-134860	TAAR6|TAAR8|TAAR9	n/a	93.38	92.34	PC3	93.38	n/a	n/a
KD_BMP_SIGNALING	BMP Signaling LOF	LOF	5	CGS001-657|CGS001-4086|CGS001-4092|CGS001-57154|CGS001-64750	BMPR1A|SMAD1|SMAD7|SMURF1|SMURF2	n/a	93.2	89.28	HA1E	93.2	n/a	n/a
KD_NKL_SUBCLASS_HOMEOBOXES_AND_PSEUDOGENES	NKL subclass homeoboxes and pseudogenes LOF	LOF	3	CGS001-1746|CGS001-1747|CGS001-3087	DLX2|DLX3|HHEX	n/a	93.12	85.09	A375	93.12	n/a	n/a
CP_CALCIUM_CHANNEL_BLOCKER	Calcium channel blocker	CP	5	BRD-A64297288|BRD-A52282606|BRD-K62858456|BRD-A96107863|BRD-A12560204	amlodipine|lacidipine|lomerizine|nisoldipine|nitrendipine	CACNA1C|CACNA1D|CACNA1S	92.96	99.67	MCF7	99.67	0.6	0.26
CP_PDGFR_KIT_INHIBITOR	PDGFR/KIT inhibitor	CP	12	BRD-K86930074|BRD-K27665173|BRD-U37049823|BRD-K47150025|BRD-K71035033|BRD-K13646352|BRD-K99616396|BRD-K74514084|BRD-K49810818|BRD-M64432851|BRD-K89162000|BRD-K53414658	cediranib|D-64406|HG-6-64-01|KI-8751|masitinib|midostaurin|motesanib|pazopanib|sorafenib|sunitinib|tandutinib|tivozanib	KIT|KDR|PDGFRB|PDGFRA	92.94	78.73	HA1E	92.94	0.25	0.12
CP_VEGFR_INHIBITOR	VEGFR inhibitor	CP	13	BRD-K29905972|BRD-K86930074|BRD-K85402309|BRD-K13646352|BRD-K74514084|BRD-K97764662|BRD-K49810818|BRD-K20287671|BRD-M64432851|BRD-K53414658|BRD-K59469039|BRD-K41337261|BRD-K67831364	axitinib|cediranib|dovitinib|midostaurin|pazopanib|PD-173074|sorafenib|SU-4312|sunitinib|tivozanib|tyrphostin-AG-879|ZM-306416|ZM-323881	KDR|PDGFRB|FGFR1|FGFR3|PDGFRA|FGFR2	92.88	92	HA1E	92.88	0.24	0.1
KD_ALDEHYDE_DEHYDROGENASES	Aldehyde dehydrogenases LOF	LOF	4	CGS001-5832|CGS001-220|CGS001-7915|CGS001-4329	ALDH18A1|ALDH1A3|ALDH5A1|ALDH6A1	n/a	92.74	91.42	HT29	92.74	n/a	n/a
KD_SMAD_FAMILY	SMAD family LOF	LOF	3	CGS001-4087|CGS001-4089|CGS001-4090	SMAD2|SMAD4|SMAD5	n/a	92.39	91.52	HCC515	92.39	n/a	n/a
CP_HIV_PROTEASE_INHIBITOR	HIV protease inhibitor	CP	4	BRD-K33226500|BRD-K99451608|BRD-K60460488|BRD-K51485625	indinavir|lopinavir|nelfinavir|ritonavir	n/a	92.24	75.76	MCF7	92.24	0.38	0.17
